,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
166,100,1e-05,9,13,0.21
167,100,1e-05,9,15,0.158
168,100,1e-05,11,1,0.363
169,100,1e-05,11,3,0.165
170,100,1e-05,11,5,0.189
171,100,1e-05,11,7,0.272
172,100,1e-05,11,9,0.245
173,100,1e-05,11,11,0.207
174,100,1e-05,11,13,0.143
175,100,1e-05,11,15,0.298
176,100,1e-05,13,1,0.194
177,100,1e-05,13,3,0.403
178,100,1e-05,13,5,0.127
179,100,1e-05,13,7,0.16
180,100,1e-05,13,9,0.163
181,100,1e-05,13,11,0.205
182,100,1e-05,13,13,0.272
183,100,1e-05,13,15,0.297
184,100,1e-05,15,1,0.244
185,100,1e-05,15,3,0.403
186,100,1e-05,15,5,0.178
187,100,1e-05,15,7,0.284
188,100,1e-05,15,9,0.199
189,100,1e-05,15,11,0.157
190,100,1e-05,15,13,0.135
191,100,1e-05,15,15,0.272
192,100,1e-07,1,1,0.223
193,100,1e-07,1,3,0.159
194,100,1e-07,1,5,0.213
195,100,1e-07,1,7,0.195
196,100,1e-07,1,9,0.288
197,100,1e-07,1,11,0.343
198,100,1e-07,1,13,0.44
199,100,1e-07,1,15,0.244
200,100,1e-07,3,1,0.144
201,100,1e-07,3,3,0.288
202,100,1e-07,3,5,0.247
203,100,1e-07,3,7,0.213
204,100,1e-07,3,9,0.203
205,100,1e-07,3,11,0.144
206,100,1e-07,3,13,0.169
207,100,1e-07,3,15,0.359
208,100,1e-07,5,1,0.164
209,100,1e-07,5,3,0.34
210,100,1e-07,5,5,0.279
211,100,1e-07,5,7,0.14
212,100,1e-07,5,9,0.292
213,100,1e-07,5,11,0.162
214,100,1e-07,5,13,0.219
215,100,1e-07,5,15,0.31
216,100,1e-07,7,1,0.246
217,100,1e-07,7,3,0.259
218,100,1e-07,7,5,0.251
219,100,1e-07,7,7,0.209
220,100,1e-07,7,9,0.374
221,100,1e-07,7,11,0.187
222,100,1e-07,7,13,0.151
223,100,1e-07,7,15,0.182
224,100,1e-07,9,1,0.121
225,100,1e-07,9,3,0.191
226,100,1e-07,9,5,0.292
227,100,1e-07,9,7,0.312
228,100,1e-07,9,9,0.524
229,100,1e-07,9,11,0.153
230,100,1e-07,9,13,0.206
231,100,1e-07,9,15,0.192
232,100,1e-07,11,1,0.192
233,100,1e-07,11,3,0.209
234,100,1e-07,11,5,0.089
235,100,1e-07,11,7,0.246
236,100,1e-07,11,9,0.318
237,100,1e-07,11,11,0.109
238,100,1e-07,11,13,0.319
239,100,1e-07,11,15,0.222
240,100,1e-07,13,1,0.244
241,100,1e-07,13,3,0.14
242,100,1e-07,13,5,0.135
243,100,1e-07,13,7,0.208
244,100,1e-07,13,9,0.226
245,100,1e-07,13,11,0.242
246,100,1e-07,13,13,0.206
247,100,1e-07,13,15,0.342
248,100,1e-07,15,1,0.224
249,100,1e-07,15,3,0.337
250,100,1e-07,15,5,0.271
251,100,1e-07,15,7,0.225
252,100,1e-07,15,9,0.255
253,100,1e-07,15,11,0.313
254,100,1e-07,15,13,0.339
255,100,1e-07,15,15,0.207
256,500,0.001,1,1,0.607
257,500,0.001,1,3,0.703
258,500,0.001,1,5,0.703
259,500,0.001,1,7,0.653
260,500,0.001,1,9,0.703
261,500,0.001,1,11,0.703
262,500,0.001,1,13,0.703
263,500,0.001,1,15,0.703
264,500,0.001,3,1,0.635
265,500,0.001,3,3,0.703
266,500,0.001,3,5,0.703
267,500,0.001,3,7,0.703
268,500,0.001,3,9,0.703
269,500,0.001,3,11,0.703
270,500,0.001,3,13,0.703
271,500,0.001,3,15,0.703
272,500,0.001,5,1,0.703
273,500,0.001,5,3,0.653
274,500,0.001,5,5,0.703
275,500,0.001,5,7,0.703
276,500,0.001,5,9,0.703
277,500,0.001,5,11,0.703
278,500,0.001,5,13,0.703
279,500,0.001,5,15,0.703
280,500,0.001,7,1,0.703
281,500,0.001,7,3,0.653
282,500,0.001,7,5,0.703
283,500,0.001,7,7,0.703
284,500,0.001,7,9,0.703
285,500,0.001,7,11,0.703
286,500,0.001,7,13,0.703
287,500,0.001,7,15,0.703
288,500,0.001,9,1,0.653
289,500,0.001,9,3,0.703
290,500,0.001,9,5,0.653
291,500,0.001,9,7,0.703
292,500,0.001,9,9,0.703
293,500,0.001,9,11,0.703
294,500,0.001,9,13,0.703
295,500,0.001,9,15,0.703
296,500,0.001,11,1,0.703
297,500,0.001,11,3,0.683
298,500,0.001,11,5,0.703
299,500,0.001,11,7,0.702
300,500,0.001,11,9,0.703
301,500,0.001,11,11,0.703
302,500,0.001,11,13,0.703
303,500,0.001,11,15,0.703
304,500,0.001,13,1,0.607
305,500,0.001,13,3,0.703
306,500,0.001,13,5,0.703
307,500,0.001,13,7,0.703
308,500,0.001,13,9,0.703
309,500,0.001,13,11,0.703
310,500,0.001,13,13,0.703
311,500,0.001,13,15,0.703
312,500,0.001,15,1,0.653
313,500,0.001,15,3,0.703
314,500,0.001,15,5,0.703
315,500,0.001,15,7,0.703
316,500,0.001,15,9,0.703
317,500,0.001,15,11,0.703
318,500,0.001,15,13,0.703
319,500,0.001,15,15,0.703
320,500,0.0001,1,1,0.314
321,500,0.0001,1,3,0.367
322,500,0.0001,1,5,0.408
323,500,0.0001,1,7,0.545
324,500,0.0001,1,9,0.278
325,500,0.0001,1,11,0.353
326,500,0.0001,1,13,0.403
327,500,0.0001,1,15,0.248
328,500,0.0001,3,1,0.327
329,500,0.0001,3,3,0.315
330,500,0.0001,3,5,0.391
331,500,0.0001,3,7,0.196
332,500,0.0001,3,9,0.341
333,500,0.0001,3,11,0.288
334,500,0.0001,3,13,0.411
335,500,0.0001,3,15,0.209
336,500,0.0001,5,1,0.274
337,500,0.0001,5,3,0.357
338,500,0.0001,5,5,0.391
339,500,0.0001,5,7,0.324
340,500,0.0001,5,9,0.209
341,500,0.0001,5,11,0.453
342,500,0.0001,5,13,0.298
343,500,0.0001,5,15,0.423
344,500,0.0001,7,1,0.361
345,500,0.0001,7,3,0.227
346,500,0.0001,7,5,0.122
347,500,0.0001,7,7,0.178
348,500,0.0001,7,9,0.52
349,500,0.0001,7,11,0.443
350,500,0.0001,7,13,0.208
351,500,0.0001,7,15,0.54
352,500,0.0001,9,1,0.362
353,500,0.0001,9,3,0.561
354,500,0.0001,9,5,0.292
355,500,0.0001,9,7,0.403
356,500,0.0001,9,9,0.292
357,500,0.0001,9,11,0.093
358,500,0.0001,9,13,0.449
359,500,0.0001,9,15,0.297
360,500,0.0001,11,1,0.224
361,500,0.0001,11,3,0.157
362,500,0.0001,11,5,0.187
363,500,0.0001,11,7,0.256
364,500,0.0001,11,9,0.258
