,Max Iter,Alpha,Num Node 1,Num Node 2,MSE
196,100,1e-05,16,31,
197,100,1e-05,16,36,
198,100,1e-05,16,41,
199,100,1e-05,16,46,
200,100,1e-05,21,1,
201,100,1e-05,21,6,
202,100,1e-05,21,11,
203,100,1e-05,21,16,
204,100,1e-05,21,21,
205,100,1e-05,21,26,
206,100,1e-05,21,31,
207,100,1e-05,21,36,
208,100,1e-05,21,41,
209,100,1e-05,21,46,
210,100,1e-05,26,1,
211,100,1e-05,26,6,
212,100,1e-05,26,11,
213,100,1e-05,26,16,
214,100,1e-05,26,21,
215,100,1e-05,26,26,
216,100,1e-05,26,31,
217,100,1e-05,26,36,
218,100,1e-05,26,41,
219,100,1e-05,26,46,
220,100,1e-05,31,1,
221,100,1e-05,31,6,
222,100,1e-05,31,11,
223,100,1e-05,31,16,
224,100,1e-05,31,21,
225,100,1e-05,31,26,
226,100,1e-05,31,31,
227,100,1e-05,31,36,
228,100,1e-05,31,41,
229,100,1e-05,31,46,
230,100,1e-05,36,1,
231,100,1e-05,36,6,
232,100,1e-05,36,11,
233,100,1e-05,36,16,
234,100,1e-05,36,21,
235,100,1e-05,36,26,
236,100,1e-05,36,31,
237,100,1e-05,36,36,
238,100,1e-05,36,41,
239,100,1e-05,36,46,
240,100,1e-07,1,1,2.065
241,100,1e-07,1,6,1.787
242,100,1e-07,1,11,1.722
243,100,1e-07,1,16,1.998
244,100,1e-07,1,21,1.824
245,100,1e-07,1,26,2.016
246,100,1e-07,1,31,1.582
247,100,1e-07,1,36,1.613
248,100,1e-07,1,41,1.869
249,100,1e-07,1,46,1.877
250,100,1e-07,6,1,6.033
251,100,1e-07,6,6,7.406
252,100,1e-07,6,11,7.038
253,100,1e-07,6,16,7.286
254,100,1e-07,6,21,5.448
255,100,1e-07,6,26,6.486
256,100,1e-07,6,31,6.998
257,100,1e-07,6,36,7.302
258,100,1e-07,6,41,6.88
259,100,1e-07,6,46,8.048
260,100,1e-07,11,1,14.042
261,100,1e-07,11,6,15.144
262,100,1e-07,11,11,13.647
263,100,1e-07,11,16,13.567
264,100,1e-07,11,21,13.331
265,100,1e-07,11,26,13.806
266,100,1e-07,11,31,14.239
267,100,1e-07,11,36,14.543
268,100,1e-07,11,41,15.844
269,100,1e-07,11,46,14.152
270,100,1e-07,16,1,28.645
271,100,1e-07,16,6,29.621
272,100,1e-07,16,11,27.145
273,100,1e-07,16,16,28.981
274,100,1e-07,16,21,30.573
275,100,1e-07,16,26,27.49
276,100,1e-07,16,31,21.822
277,100,1e-07,16,36,27.555
278,100,1e-07,16,41,30.432
279,100,1e-07,16,46,25.247
280,100,1e-07,21,1,42.977
281,100,1e-07,21,6,42.86
282,100,1e-07,21,11,41.503
283,100,1e-07,21,16,44.904
284,100,1e-07,21,21,43.119
285,100,1e-07,21,26,47.847
286,100,1e-07,21,31,47.544
287,100,1e-07,21,36,49.249
288,100,1e-07,21,41,49.863
289,100,1e-07,21,46,41.869
290,100,1e-07,26,1,71.782
291,100,1e-07,26,6,67.739
292,100,1e-07,26,11,62.635
293,100,1e-07,26,16,67.771
294,100,1e-07,26,21,64.643
295,100,1e-07,26,26,60.534
296,100,1e-07,26,31,60.727
297,100,1e-07,26,36,68.503
298,100,1e-07,26,41,55.234
299,100,1e-07,26,46,63.804
300,100,1e-07,31,1,100.386
301,100,1e-07,31,6,86.937
302,100,1e-07,31,11,90.462
303,100,1e-07,31,16,91.289
304,100,1e-07,31,21,99.76
305,100,1e-07,31,26,91.178
306,100,1e-07,31,31,91.131
307,100,1e-07,31,36,99.915
308,100,1e-07,31,41,90.812
309,100,1e-07,31,46,98.914
310,100,1e-07,36,1,148.058
311,100,1e-07,36,6,135.755
312,100,1e-07,36,11,143.546
313,100,1e-07,36,16,144.884
314,100,1e-07,36,21,160.453
315,100,1e-07,36,26,144.103
316,100,1e-07,36,31,124.829
317,100,1e-07,36,36,124.628
318,100,1e-07,36,41,121.921
319,100,1e-07,36,46,126.413
320,500,0.001,1,1,
321,500,0.001,1,6,
322,500,0.001,1,11,
323,500,0.001,1,16,
324,500,0.001,1,21,
325,500,0.001,1,26,
326,500,0.001,1,31,
327,500,0.001,1,36,
328,500,0.001,1,41,
329,500,0.001,1,46,
330,500,0.001,6,1,
331,500,0.001,6,6,
332,500,0.001,6,11,
333,500,0.001,6,16,
334,500,0.001,6,21,
335,500,0.001,6,26,
336,500,0.001,6,31,
337,500,0.001,6,36,
338,500,0.001,6,41,
339,500,0.001,6,46,
340,500,0.001,11,1,
341,500,0.001,11,6,
342,500,0.001,11,11,
343,500,0.001,11,16,
344,500,0.001,11,21,
345,500,0.001,11,26,
346,500,0.001,11,31,
347,500,0.001,11,36,
348,500,0.001,11,41,
349,500,0.001,11,46,
350,500,0.001,16,1,
351,500,0.001,16,6,
352,500,0.001,16,11,
353,500,0.001,16,16,
354,500,0.001,16,21,
355,500,0.001,16,26,
356,500,0.001,16,31,
357,500,0.001,16,36,
358,500,0.001,16,41,
359,500,0.001,16,46,
360,500,0.001,21,1,
361,500,0.001,21,6,
362,500,0.001,21,11,
363,500,0.001,21,16,
364,500,0.001,21,21,
365,500,0.001,21,26,
366,500,0.001,21,31,
367,500,0.001,21,36,
368,500,0.001,21,41,
369,500,0.001,21,46,
370,500,0.001,26,1,
371,500,0.001,26,6,
372,500,0.001,26,11,
373,500,0.001,26,16,
374,500,0.001,26,21,
375,500,0.001,26,26,
376,500,0.001,26,31,
377,500,0.001,26,36,
378,500,0.001,26,41,
379,500,0.001,26,46,
380,500,0.001,31,1,
381,500,0.001,31,6,
382,500,0.001,31,11,
383,500,0.001,31,16,
384,500,0.001,31,21,
385,500,0.001,31,26,
386,500,0.001,31,31,
387,500,0.001,31,36,
388,500,0.001,31,41,
389,500,0.001,31,46,
390,500,0.001,36,1,
391,500,0.001,36,6,
392,500,0.001,36,11,
393,500,0.001,36,16,
394,500,0.001,36,21,
395,500,0.001,36,26,
396,500,0.001,36,31,
397,500,0.001,36,36,
398,500,0.001,36,41,
399,500,0.001,36,46,
400,500,0.0001,1,1,
401,500,0.0001,1,6,1.757
402,500,0.0001,1,11,1.668
403,500,0.0001,1,16,
404,500,0.0001,1,21,1.735
405,500,0.0001,1,26,
406,500,0.0001,1,31,1.874
407,500,0.0001,1,36,1.748
408,500,0.0001,1,41,1.761
409,500,0.0001,1,46,1.776
410,500,0.0001,6,1,
411,500,0.0001,6,6,
412,500,0.0001,6,11,
413,500,0.0001,6,16,
414,500,0.0001,6,21,
415,500,0.0001,6,26,
416,500,0.0001,6,31,
417,500,0.0001,6,36,
418,500,0.0001,6,41,
419,500,0.0001,6,46,
420,500,0.0001,11,1,
421,500,0.0001,11,6,
422,500,0.0001,11,11,
423,500,0.0001,11,16,
424,500,0.0001,11,21,
425,500,0.0001,11,26,
426,500,0.0001,11,31,
427,500,0.0001,11,36,
428,500,0.0001,11,41,
429,500,0.0001,11,46,
430,500,0.0001,16,1,
431,500,0.0001,16,6,
432,500,0.0001,16,11,
433,500,0.0001,16,16,
434,500,0.0001,16,21,
435,500,0.0001,16,26,
436,500,0.0001,16,31,
437,500,0.0001,16,36,
438,500,0.0001,16,41,
439,500,0.0001,16,46,
440,500,0.0001,21,1,
441,500,0.0001,21,6,
442,500,0.0001,21,11,
443,500,0.0001,21,16,
444,500,0.0001,21,21,
445,500,0.0001,21,26,
446,500,0.0001,21,31,
447,500,0.0001,21,36,
448,500,0.0001,21,41,
449,500,0.0001,21,46,
450,500,0.0001,26,1,
451,500,0.0001,26,6,
452,500,0.0001,26,11,
453,500,0.0001,26,16,
454,500,0.0001,26,21,
455,500,0.0001,26,26,
456,500,0.0001,26,31,
457,500,0.0001,26,36,
458,500,0.0001,26,41,
459,500,0.0001,26,46,
460,500,0.0001,31,1,
461,500,0.0001,31,6,
462,500,0.0001,31,11,
463,500,0.0001,31,16,
464,500,0.0001,31,21,
465,500,0.0001,31,26,
466,500,0.0001,31,31,
467,500,0.0001,31,36,
468,500,0.0001,31,41,
469,500,0.0001,31,46,
470,500,0.0001,36,1,
471,500,0.0001,36,6,
472,500,0.0001,36,11,
473,500,0.0001,36,16,
474,500,0.0001,36,21,
475,500,0.0001,36,26,
476,500,0.0001,36,31,
477,500,0.0001,36,36,
478,500,0.0001,36,41,
479,500,0.0001,36,46,
480,500,1e-05,1,1,1.837
481,500,1e-05,1,6,1.683
482,500,1e-05,1,11,1.555
483,500,1e-05,1,16,1.527
484,500,1e-05,1,21,2.01
485,500,1e-05,1,26,1.767
486,500,1e-05,1,31,1.72
487,500,1e-05,1,36,1.709
488,500,1e-05,1,41,1.734
489,500,1e-05,1,46,1.873
490,500,1e-05,6,1,
491,500,1e-05,6,6,
492,500,1e-05,6,11,
493,500,1e-05,6,16,
494,500,1e-05,6,21,
495,500,1e-05,6,26,
496,500,1e-05,6,31,
497,500,1e-05,6,36,
498,500,1e-05,6,41,
499,500,1e-05,6,46,
500,500,1e-05,11,1,
501,500,1e-05,11,6,
502,500,1e-05,11,11,
503,500,1e-05,11,16,
504,500,1e-05,11,21,
505,500,1e-05,11,26,
506,500,1e-05,11,31,
507,500,1e-05,11,36,
508,500,1e-05,11,41,
509,500,1e-05,11,46,
510,500,1e-05,16,1,
511,500,1e-05,16,6,
512,500,1e-05,16,11,
513,500,1e-05,16,16,
514,500,1e-05,16,21,
515,500,1e-05,16,26,
516,500,1e-05,16,31,
517,500,1e-05,16,36,
518,500,1e-05,16,41,
519,500,1e-05,16,46,
520,500,1e-05,21,1,
521,500,1e-05,21,6,
522,500,1e-05,21,11,
523,500,1e-05,21,16,
524,500,1e-05,21,21,
525,500,1e-05,21,26,
526,500,1e-05,21,31,
527,500,1e-05,21,36,
528,500,1e-05,21,41,
529,500,1e-05,21,46,
530,500,1e-05,26,1,
531,500,1e-05,26,6,
532,500,1e-05,26,11,
533,500,1e-05,26,16,
534,500,1e-05,26,21,
535,500,1e-05,26,26,
536,500,1e-05,26,31,
537,500,1e-05,26,36,
538,500,1e-05,26,41,
539,500,1e-05,26,46,
540,500,1e-05,31,1,
541,500,1e-05,31,6,
542,500,1e-05,31,11,
543,500,1e-05,31,16,
544,500,1e-05,31,21,
545,500,1e-05,31,26,
546,500,1e-05,31,31,
547,500,1e-05,31,36,
548,500,1e-05,31,41,
549,500,1e-05,31,46,
550,500,1e-05,36,1,
551,500,1e-05,36,6,
552,500,1e-05,36,11,
553,500,1e-05,36,16,
554,500,1e-05,36,21,
555,500,1e-05,36,26,
556,500,1e-05,36,31,
557,500,1e-05,36,36,
558,500,1e-05,36,41,
559,500,1e-05,36,46,
560,500,1e-07,1,1,1.938
561,500,1e-07,1,6,1.941
562,500,1e-07,1,11,1.719
563,500,1e-07,1,16,1.779
564,500,1e-07,1,21,1.885
565,500,1e-07,1,26,1.599
566,500,1e-07,1,31,1.822
567,500,1e-07,1,36,1.83
568,500,1e-07,1,41,1.755
569,500,1e-07,1,46,1.831
570,500,1e-07,6,1,5.35
571,500,1e-07,6,6,5.689
572,500,1e-07,6,11,6.6
573,500,1e-07,6,16,7.254
574,500,1e-07,6,21,6.707
575,500,1e-07,6,26,5.626
576,500,1e-07,6,31,5.713
577,500,1e-07,6,36,5.98
578,500,1e-07,6,41,5.904
579,500,1e-07,6,46,6.947
580,500,1e-07,11,1,15.45
581,500,1e-07,11,6,14.389
582,500,1e-07,11,11,15.639
583,500,1e-07,11,16,13.508
584,500,1e-07,11,21,14.322
585,500,1e-07,11,26,17.002
586,500,1e-07,11,31,14.334
587,500,1e-07,11,36,14.52
588,500,1e-07,11,41,15.939
589,500,1e-07,11,46,16.035
590,500,1e-07,16,1,27.522
591,500,1e-07,16,6,30.565
592,500,1e-07,16,11,28.873
593,500,1e-07,16,16,28.157
594,500,1e-07,16,21,31.759
595,500,1e-07,16,26,29.9
596,500,1e-07,16,31,25.474
597,500,1e-07,16,36,33.516
598,500,1e-07,16,41,30.327
599,500,1e-07,16,46,28.116
600,500,1e-07,21,1,49.655
601,500,1e-07,21,6,52.845
602,500,1e-07,21,11,48.044
603,500,1e-07,21,16,48.216
604,500,1e-07,21,21,47.755
605,500,1e-07,21,26,55.749
606,500,1e-07,21,31,54.214
607,500,1e-07,21,36,48.438
608,500,1e-07,21,41,48.974
609,500,1e-07,21,46,51.208
610,500,1e-07,26,1,
611,500,1e-07,26,6,
612,500,1e-07,26,11,
613,500,1e-07,26,16,
614,500,1e-07,26,21,
615,500,1e-07,26,26,
616,500,1e-07,26,31,
617,500,1e-07,26,36,
618,500,1e-07,26,41,
619,500,1e-07,26,46,
620,500,1e-07,31,1,
621,500,1e-07,31,6,
622,500,1e-07,31,11,
623,500,1e-07,31,16,
624,500,1e-07,31,21,
625,500,1e-07,31,26,
626,500,1e-07,31,31,
627,500,1e-07,31,36,
628,500,1e-07,31,41,
629,500,1e-07,31,46,
630,500,1e-07,36,1,
631,500,1e-07,36,6,
632,500,1e-07,36,11,
633,500,1e-07,36,16,
634,500,1e-07,36,21,
635,500,1e-07,36,26,
636,500,1e-07,36,31,
637,500,1e-07,36,36,
638,500,1e-07,36,41,
639,500,1e-07,36,46,
640,1000,0.001,1,1,
641,1000,0.001,1,6,
642,1000,0.001,1,11,
643,1000,0.001,1,16,
644,1000,0.001,1,21,
645,1000,0.001,1,26,
646,1000,0.001,1,31,
647,1000,0.001,1,36,
648,1000,0.001,1,41,
649,1000,0.001,1,46,
650,1000,0.001,6,1,
651,1000,0.001,6,6,
652,1000,0.001,6,11,
653,1000,0.001,6,16,
654,1000,0.001,6,21,
655,1000,0.001,6,26,
656,1000,0.001,6,31,
657,1000,0.001,6,36,
658,1000,0.001,6,41,
659,1000,0.001,6,46,
660,1000,0.001,11,1,
661,1000,0.001,11,6,
662,1000,0.001,11,11,
663,1000,0.001,11,16,
664,1000,0.001,11,21,
665,1000,0.001,11,26,
666,1000,0.001,11,31,
667,1000,0.001,11,36,
668,1000,0.001,11,41,
669,1000,0.001,11,46,
670,1000,0.001,16,1,
671,1000,0.001,16,6,
672,1000,0.001,16,11,
673,1000,0.001,16,16,
674,1000,0.001,16,21,
675,1000,0.001,16,26,
676,1000,0.001,16,31,
677,1000,0.001,16,36,
678,1000,0.001,16,41,
679,1000,0.001,16,46,
680,1000,0.001,21,1,
681,1000,0.001,21,6,
682,1000,0.001,21,11,
683,1000,0.001,21,16,
684,1000,0.001,21,21,
685,1000,0.001,21,26,
686,1000,0.001,21,31,
687,1000,0.001,21,36,
688,1000,0.001,21,41,
689,1000,0.001,21,46,
690,1000,0.001,26,1,
691,1000,0.001,26,6,
692,1000,0.001,26,11,
693,1000,0.001,26,16,
694,1000,0.001,26,21,
695,1000,0.001,26,26,
696,1000,0.001,26,31,
697,1000,0.001,26,36,
698,1000,0.001,26,41,
699,1000,0.001,26,46,
700,1000,0.001,31,1,
701,1000,0.001,31,6,
702,1000,0.001,31,11,
703,1000,0.001,31,16,
704,1000,0.001,31,21,
705,1000,0.001,31,26,
706,1000,0.001,31,31,
707,1000,0.001,31,36,
708,1000,0.001,31,41,
709,1000,0.001,31,46,
710,1000,0.001,36,1,
711,1000,0.001,36,6,
712,1000,0.001,36,11,
713,1000,0.001,36,16,
714,1000,0.001,36,21,
715,1000,0.001,36,26,
716,1000,0.001,36,31,
717,1000,0.001,36,36,
718,1000,0.001,36,41,
719,1000,0.001,36,46,
720,1000,0.0001,1,1,
721,1000,0.0001,1,6,
722,1000,0.0001,1,11,
723,1000,0.0001,1,16,
724,1000,0.0001,1,21,
725,1000,0.0001,1,26,
726,1000,0.0001,1,31,
727,1000,0.0001,1,36,
728,1000,0.0001,1,41,
729,1000,0.0001,1,46,
730,1000,0.0001,6,1,
731,1000,0.0001,6,6,
732,1000,0.0001,6,11,
733,1000,0.0001,6,16,
734,1000,0.0001,6,21,
735,1000,0.0001,6,26,
736,1000,0.0001,6,31,
737,1000,0.0001,6,36,
