,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
68,100,1e-05,31,31,0.616
69,100,1e-05,31,41,0.616
70,100,1e-05,41,1,0.595
71,100,1e-05,41,11,0.616
72,100,1e-05,41,21,0.616
73,100,1e-05,41,31,0.591
74,100,1e-05,41,41,0.616
75,100,1e-07,1,1,0.549
76,100,1e-07,1,11,0.472
77,100,1e-07,1,21,0.595
78,100,1e-07,1,31,0.544
79,100,1e-07,1,41,0.507
80,100,1e-07,11,1,0.477
81,100,1e-07,11,11,0.467
82,100,1e-07,11,21,0.533
83,100,1e-07,11,31,0.477
84,100,1e-07,11,41,0.502
85,100,1e-07,21,1,0.43
86,100,1e-07,21,11,0.523
87,100,1e-07,21,21,0.481
88,100,1e-07,21,31,0.519
89,100,1e-07,21,41,0.528
90,100,1e-07,31,1,0.498
91,100,1e-07,31,11,0.43
92,100,1e-07,31,21,0.549
93,100,1e-07,31,31,0.544
94,100,1e-07,31,41,0.498
95,100,1e-07,41,1,0.456
96,100,1e-07,41,11,0.477
97,100,1e-07,41,21,0.498
98,100,1e-07,41,31,0.519
99,100,1e-07,41,41,0.502
100,500,0.001,1,1,0.616
101,500,0.001,1,11,0.616
102,500,0.001,1,21,0.616
103,500,0.001,1,31,0.616
104,500,0.001,1,41,0.616
105,500,0.001,11,1,0.616
106,500,0.001,11,11,0.616
107,500,0.001,11,21,0.616
108,500,0.001,11,31,0.616
109,500,0.001,11,41,0.616
110,500,0.001,21,1,0.616
111,500,0.001,21,11,0.616
112,500,0.001,21,21,0.616
113,500,0.001,21,31,0.616
114,500,0.001,21,41,0.616
115,500,0.001,31,1,0.616
116,500,0.001,31,11,0.616
117,500,0.001,31,21,0.616
118,500,0.001,31,31,0.616
119,500,0.001,31,41,0.616
120,500,0.001,41,1,0.616
121,500,0.001,41,11,0.616
122,500,0.001,41,21,0.616
123,500,0.001,41,31,0.616
124,500,0.001,41,41,0.616
125,500,0.0001,1,1,0.616
126,500,0.0001,1,11,0.616
127,500,0.0001,1,21,0.616
128,500,0.0001,1,31,0.616
129,500,0.0001,1,41,0.616
130,500,0.0001,11,1,0.616
131,500,0.0001,11,11,0.616
132,500,0.0001,11,21,0.616
133,500,0.0001,11,31,0.616
134,500,0.0001,11,41,0.616
135,500,0.0001,21,1,0.616
136,500,0.0001,21,11,0.616
137,500,0.0001,21,21,0.616
138,500,0.0001,21,31,0.616
139,500,0.0001,21,41,0.616
140,500,0.0001,31,1,0.616
141,500,0.0001,31,11,0.616
142,500,0.0001,31,21,0.616
143,500,0.0001,31,31,0.616
144,500,0.0001,31,41,0.616
145,500,0.0001,41,1,0.616
146,500,0.0001,41,11,0.616
147,500,0.0001,41,21,0.616
148,500,0.0001,41,31,0.616
149,500,0.0001,41,41,0.616
150,500,1e-05,1,1,0.616
151,500,1e-05,1,11,0.616
152,500,1e-05,1,21,0.616
153,500,1e-05,1,31,0.616
154,500,1e-05,1,41,0.616
155,500,1e-05,11,1,0.616
156,500,1e-05,11,11,0.616
157,500,1e-05,11,21,0.616
158,500,1e-05,11,31,0.616
159,500,1e-05,11,41,0.616
160,500,1e-05,21,1,0.616
161,500,1e-05,21,11,0.616
162,500,1e-05,21,21,0.616
163,500,1e-05,21,31,0.616
164,500,1e-05,21,41,0.616
165,500,1e-05,31,1,0.616
