,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
14,100,0.001,21,1,0.553
21,100,0.001,31,1,0.553
194,100,1.00E-07,61,51,0.553
261,500,0.0001,21,21,0.553
319,500,1.00E-05,31,41,0.553
326,500,1.00E-05,41,41,0.553
355,500,1.00E-07,11,51,0.553
388,500,1.00E-07,61,31,0.553
463,1000,0.0001,31,11,0.553
533,1000,1.00E-05,61,11,0.553
9,100,0.001,11,21,0.549
16,100,0.001,21,21,0.549
38,100,0.001,51,31,0.549
61,100,0.0001,11,51,0.549
76,100,0.0001,31,61,0.549
84,100,0.0001,51,1,0.549
88,100,0.0001,51,41,0.549
91,100,0.0001,61,1,0.549
112,100,1.00E-05,21,1,0.549
129,100,1.00E-05,41,31,0.549
171,100,1.00E-07,31,31,0.549
238,500,0.001,61,1,0.549
257,500,0.0001,11,51,0.549
263,500,0.0001,21,41,0.549
278,500,0.0001,41,51,0.549
286,500,0.0001,51,61,0.549
294,500,1.00E-05,1,1,0.549
308,500,1.00E-05,21,1,0.549
323,500,1.00E-05,41,11,0.549
338,500,1.00E-05,61,21,0.549
351,500,1.00E-07,11,11,0.549
363,500,1.00E-07,21,61,0.549
383,500,1.00E-07,51,51,0.549
445,1000,0.0001,1,41,0.549
453,1000,0.0001,11,51,0.549
503,1000,1.00E-05,11,61,0.549
568,1000,1.00E-07,41,11,0.549
18,100,0.001,21,41,0.544
19,100,0.001,21,51,0.544
25,100,0.001,31,41,0.544
44,100,0.001,61,21,0.544
62,100,0.0001,11,61,0.544
63,100,0.0001,21,1,0.544
68,100,0.0001,21,51,0.544
77,100,0.0001,41,1,0.544
81,100,0.0001,41,41,0.544
99,100,1.00E-05,1,11,0.544
130,100,1.00E-05,41,41,0.544
132,100,1.00E-05,41,61,0.544
143,100,1.00E-05,61,31,0.544
147,100,1.00E-07,1,1,0.544
158,100,1.00E-07,11,41,0.544
179,100,1.00E-07,41,41,0.544
256,500,0.0001,11,41,0.544
275,500,0.0001,41,21,0.544
289,500,0.0001,61,21,0.544
296,500,1.00E-05,1,21,0.544
307,500,1.00E-05,11,61,0.544
324,500,1.00E-05,41,21,0.544
331,500,1.00E-05,51,21,0.544
334,500,1.00E-05,51,51,0.544
359,500,1.00E-07,21,21,0.544
443,1000,0.0001,1,21,0.544
472,1000,0.0001,41,31,0.544
479,1000,0.0001,51,31,0.544
482,1000,0.0001,51,61,0.544
483,1000,0.0001,61,1,0.544
486,1000,0.0001,61,31,0.544
498,1000,1.00E-05,11,11,0.544
500,1000,1.00E-05,11,31,0.544
525,1000,1.00E-05,51,1,0.544
250,500,0.0001,1,51,0.542
22,100,0.001,31,11,0.54
35,100,0.001,51,1,0.54
70,100,0.0001,31,1,0.54
217,500,0.001,31,1,0.54
277,500,0.0001,41,41,0.54
327,500,1.00E-05,41,51,0.537
103,100,1.00E-05,1,51,0.533
170,100,1.00E-07,31,21,0.533
73,100,0.0001,31,31,0.528
86,100,0.0001,51,21,0.528
89,100,0.0001,51,51,0.528
95,100,0.0001,61,41,0.528
118,100,1.00E-05,21,61,0.528
141,100,1.00E-05,61,11,0.528
149,100,1.00E-07,1,21,0.528
174,100,1.00E-07,31,61,0.528
187,100,1.00E-07,51,51,0.528
188,100,1.00E-07,51,61,0.528
264,500,0.0001,21,51,0.528
269,500,0.0001,31,31,0.528
300,500,1.00E-05,1,61,0.528
311,500,1.00E-05,21,31,0.528
329,500,1.00E-05,51,1,0.528
345,500,1.00E-07,1,21,0.528
389,500,1.00E-07,61,41,0.528
391,500,1.00E-07,61,61,0.528
450,1000,0.0001,11,21,0.528
476,1000,0.0001,51,1,0.528
566,1000,1.00E-07,31,61,0.528
586,1000,1.00E-07,61,51,0.528
2,100,0.001,1,21,0.523
8,100,0.001,11,11,0.523
24,100,0.001,31,31,0.523
28,100,0.001,41,1,0.523
30,100,0.001,41,21,0.523
